year,aeo2012,aeo2013
2012,7278121.582,6805459.961
2013,7494246.582,7671118.164
2014,7910588.867,8293975.586
2015,8138701.172,8765138.672
2016,8410607.422,9100910.156
2017,8594000.977,9192965.82
2018,8562982.422,9121560.547
2019,8803123.047,9307993.164
2020,8963944.336,9515555.664
2021,8999791.016,9754907.227
2022,9001529.297,10143781.25
2023,9058297.852,10372933.59
2024,9159247.07,10545145.51
2025,9298918.945,10659798.83
