footprint,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
64.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
65,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
65.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
66,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
66.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
67,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
67.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
68,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
68.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
69,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
69.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
70,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
70.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
71,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
71.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
72,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
72.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
73,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
73.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
74,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
74.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
75,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
75.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
76,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
76.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
77,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
77.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
78,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
78.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
79,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
79.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
80,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
