manufacturer,actualRate,targetRate
BMW,336,363
CHR,345,363
FMC,364,364
GMC,369,374
HON,333,320
JAG,316,303
MAZ,323,324
DAM,335,368
MIT,307,283
NIS,337,367
FUJ,309,296
SUZ,325,361
TOY,342,345
VWA,327,330
VOL,325,343
