footprint,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
62.5,381.1,371.2,361.9,347.6,333.6,333,327.5,320.2,310.225,287.3,273.425,260.375,247.95,236.25
63,383.12,373.22,363.92,349.62,335.62,335.02,329.52,322.54,312.51,289.44,275.47,262.33,249.82,238.04
63.5,385.14,375.24,365.94,351.64,337.64,337.04,331.54,324.88,314.795,291.58,277.515,264.285,251.69,239.83
64,387.16,377.26,367.96,353.66,339.66,339.06,333.56,327.22,317.08,293.72,279.56,266.24,253.56,241.62
64.5,389.18,379.28,369.98,355.68,341.68,341.08,335.58,329.56,319.365,295.86,281.605,268.195,255.43,243.41
65,391.2,381.3,372,357.7,343.7,343.1,337.6,331.9,321.65,298,283.65,270.15,257.3,245.2
65.5,393.22,383.32,374.02,359.72,345.72,345.12,339.62,334.24,323.935,300.14,285.695,272.105,259.17,246.99
66,395,385,376,361.74,347.74,347.14,341.64,336.58,326.22,302.28,287.74,274.06,261.04,248.78
66.5,395,385,376,362,348,347.2,341.7,338.6,328.505,304.42,289.785,276.015,262.91,250.57
67,395,385,376,362,348,347.2,341.7,338.6,330.79,306.56,291.83,277.97,264.78,252.36
67.5,395,385,376,362,348,347.2,341.7,338.6,333.075,308.7,293.875,279.925,266.65,254.15
68,395,385,376,362,348,347.2,341.7,338.6,335.36,310.84,295.92,281.88,268.52,255.94
68.5,395,385,376,362,348,347.2,341.7,338.6,336.7,312.98,297.965,283.835,270.39,257.73
69,395,385,376,362,348,347.2,341.7,338.6,336.7,315.12,300.01,285.79,272.26,259.52
69.5,395,385,376,362,348,347.2,341.7,338.6,336.7,317.26,302.055,287.745,274.13,261.31
70,395,385,376,362,348,347.2,341.7,338.6,336.7,319.4,304.1,289.7,276,263.1
70.5,395,385,376,362,348,347.2,341.7,338.6,336.7,321.54,306.145,291.655,277.87,264.89
71,395,385,376,362,348,347.2,341.7,338.6,336.7,323.68,308.19,293.61,279.74,266.68
71.5,395,385,376,362,348,347.2,341.7,338.6,336.7,325.82,310.235,295.565,281.61,268.47
72,395,385,376,362,348,347.2,341.7,338.6,336.7,327.96,312.28,297.52,283.48,270.26
72.5,395,385,376,362,348,347.2,341.7,338.6,336.7,330.1,314.325,299.475,285.35,272.05
73,395,385,376,362,348,347.2,341.7,338.6,336.7,332.24,316.37,301.43,287.22,273.84
73.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.38,318.415,303.385,289.09,275.63
74,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.46,305.34,290.96,277.1
74.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
75,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
75.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
76,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
76.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
77,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
77.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
78,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
78.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
79,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
79.5,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
80,395,385,376,362,348,347.2,341.7,338.6,336.7,334.8,320.8,305.6,291,277.1
