manufacturer,actualRate,targetRate
BMW,269,277
CHR,277,287
FMC,265,252
GMC,272,272
HON,263,237
MAZ,259,241
DAM,271,298
MIT,261,262
NIS,263,258
FUJ,260,257
SUZ,251,267
TOY,264,221
VWA,263,273
VOL,272,297
