model,type,footprint,twoCycGas,fiveCycGas,twoCycAlt,fiveCycAlt,proportion,carType
Chevrolet Impala,FFV,48.2,26.2,21.7,21.3,16.4,0.5,car
Ford Focus,BEV,43.5,NA,NA,22.5,32.1,1,car
Nissan Leaf,BEV,44.7,NA,NA,20.4,29.2,1,car
Toyota Prius,PHEV,44.2,69.8,49.7,20.2,26.9,0.29,car
Chevrolet Volt,PHEV,44.5,50.1,36.9,24.2,34.6,0.66,car
Mitsubishi MiEV,BEV,38.4,NA,NA,21,30,1,car
Toyota RAV4,BEV,44.6,NA,NA,31,44.3,1,truck
