MFR,Model,EmissionsRate,FinalSales,FPT,Type
CHR,JOURNEY,456.0850688,15689,52.15833333,truck
CHR,300,344.2758856,12161,51.79166667,car
CHR,CHARGER,467.4268643,7148,44.45833333,car
CHR,CHARGER,351.1454604,2401,44.45833333,car
CHR,300,389.8337055,1706,51.79166667,car
CHR,AVENGER,353.3696763,1164,51.79166667,car
CHR,CHARGER,389.8337055,1032,44.45833333,car
CHR,SEBRING,353.3696763,851,49.5,car
CHR,SEBRING,353.3696763,694,48.58333333,car
CHR,CHARGER,467.4268643,207,44.45833333,car
CHR,CARAVAN,216.8084489,61767,55.55,truck
CHR,CARAVAN,216.8084489,3240,55.55,truck
CHR,CHARGER,322.9921569,18961,44.45833333,car
CHR,300,322.9921569,11804,51.79166667,car
CHR,AVENGER,185.6730675,2495,51.79166667,car
CHR,SEBRING,198.0389972,2039,48.58333333,car
CHR,SEBRING,185.6730675,1387,49.5,car
CHR,AVENGER,306.3933364,688,51.79166667,car
CHR,SEBRING,326.7147284,665,48.58333333,car
CHR,SEBRING,306.3933364,568,49.5,car
CHR,JOURNEY,448.9018649,47,52.15833333,truck
CHR,AVENGER,277.6077069,27320,49.5,car
CHR,SEBRING,277.6077069,16782,49.5,car
CHR,SEBRING,293.6540717,2720,48.58333333,car
CHR,SEBRING,292.9252311,1429,48.58333333,car
CHR,SEBRING,309.4596383,377,48.58333333,car
CHR,SEBRING,264.8598064,113,48.58333333,car
CHR,PT CRUISER,323.5153858,23766,47.20833333,truck
CHR,JOURNEY,447.1604031,18321,52.15833333,truck
CHR,PATRIOT,296.2807383,12944,47.52916667,truck
CHR,PATRIOT,304.8724009,11810,47.52916667,truck
CHR,COMPASS,296.2807383,3952,47.52916667,truck
CHR,COMPASS,367.9932422,3174,47.52916667,truck
CHR,PATRIOT,293.4155658,1567,47.52916667,truck
CHR,PATRIOT,277.0719601,862,47.52916667,truck
CHR,PT CRUISER,293.4155658,654,47.20833333,truck
CHR,PT CRUISER,329.791853,456,47.20833333,truck
CHR,COMPASS,293.4155658,376,47.52916667,truck
CHR,COMPASS,277.0719601,302,47.52916667,truck
CHR,SEBRING,274.3705716,38683,49.5,car
CHR,PATRIOT,274.3705716,5428,47.52916667,truck
CHR,COMPASS,274.3705716,2193,47.52916667,truck
CHR,SEBRING,257.7144697,2661,49.5,car
DAM,C CLASS,472.1100722,2158,52.25,car
DAM,S CLASS,488.5973786,1486,55.91666667,car
DAM,S CLASS,514.2106603,1011,55.91666667,car
DAM,M CLASS,584.6710526,665,52.61666667,truck
DAM,CL,511.0408281,486,52.25,car
DAM,E CLASS,472.1747881,417,48.58333333,car
DAM,CL,492.6793842,303,52.25,car
DAM,E CLASS,472.1747881,23,48.58333333,car
DAM,S CLASS,509.2223858,299,55.91666667,car
DAM,S CLASS,535.1873487,88,55.91666667,car
DAM,CL,527.6814554,31,52.25,car
DAM,MAYBACH,584.2636056,24,58.20833333,car
DAM,MAYBACH,584.2636056,11,59.125,car
DAM,MAYBACH,584.2636056,2,58.20833333,car
DAM,S CLASS,520.8223449,212,52.25,car
DAM,E CLASS,446.0136308,150,51.33333333,car
DAM,S CLASS,511.9092192,113,46.29166667,car
DAM,CL,533.2765273,20,46.29166667,car
DAM,MAYBACH,581.0585505,7,59.125,car
DAM,MAYBACH,581.0585505,3,58.20833333,car
DAM,S CLASS,432.72274,5661,46.29166667,car
DAM,S CLASS,413.5046227,4986,55.91666667,car
DAM,GL450 4MATIC,480.3783784,4088,55.50416667,truck
DAM,S CLASS,400.9691479,3892,55.91666667,car
DAM,CL,420.4356218,3524,52.25,car
DAM,M CLASS,462.8645833,2035,52.61666667,truck
DAM,CL,400.5480662,854,49.04166667,car
DAM,E CLASS,394.2348641,829,51.33333333,car
DAM,CL,417.8676384,741,52.25,car
DAM,CL,407.1115102,493,49.04166667,car
DAM,G55 AMG,548.5802469,350,51.425,truck
DAM,G500,562.4683544,350,51.425,truck
DAM,SLK,405.9918866,262,43.54166667,car
DAM,S CLASS,507.6371197,69,55.91666667,car
DAM,GL450 4MATIC,467.7368421,7334,55.50416667,truck
DAM,M CLASS,413.3488372,17969,52.61666667,truck
DAM,CL,342.128767,9778,49.04166667,car
DAM,E CLASS,371.4726401,8126,51.33333333,car
DAM,E CLASS,357.3683343,7031,51.33333333,car
DAM,C CLASS,343.9867159,6279,49.04166667,car
DAM,CL,343.5293026,4529,49.04166667,car
DAM,R350,417.2300469,2750,58.025,truck
DAM,M CLASS,402.1266968,2218,52.61666667,truck
DAM,SLK,333.1546412,1417,43.54166667,car
DAM,E CLASS,384.6037331,1022,51.33333333,car
DAM,C CLASS,331.838498,29030,49.04166667,car
DAM,C CLASS,340.4680814,14157,49.04166667,car
DAM,C CLASS,340.4680814,5519,49.04166667,car
DAM,SLK,320.2522523,2243,43.54166667,car
DAM,E CLASS,256.2505587,1205,51.33333333,car
DAM,C CLASS,330.894536,729,49.04166667,car
DAM,SLK,334.5870465,65,43.54166667,car
DAM,M CLASS,339.1984733,3230,52.61666667,truck
DAM,GL 320 CDI 4MATIC,358.3467742,2401,55.50416667,truck
DAM,R320 CDI 4MATIC,337.9087452,357,58.025,truck
DAM,SMART FOR TWO,179.5248359,10617,43.54166667,car
DAM,SMART FOR TWO,179.5248359,3552,43.54166667,car
FIA,FERRARI,558.9308176,108,46.75,car
FIA,FERRARI,559.8251295,1,46.75,car
FIA,FERRARI,566.4514402,29,46.75,car
FIA,FERRARI,534.0199619,586,46.75,car
FIA,FERRARI,468.6321762,53,46.75,car
FIA,FERRARI,534.334622,19,46.75,car
FMC,F150,277.71875,84511,66.36666667,truck
FMC,F150,260.6158358,26560,66.32083333,truck
